,stop_from_name,stop_to_name,route_type,weight
1552599,Úžice,"Odolena Voda,Dolní náměstí",3,126
1552626,Úžice,"Samopše,Talmberk",3,73
1552643,Úžice,"Úžice,Netřeba",3,82
1552662,Úžice,"Úžice,Smrk",3,10
1552664,Úžice,"Úžice,Smrk,rozc.",3,58
1552678,Úžice,"Úžice,Červená Lhota",3,137
1552709,"Úžice,Benátky","Horní Kruty,Újezdec",3,48
1552722,"Úžice,Benátky","Horní Kruty,Újezdec,rozc.",3,40
1552730,"Úžice,Benátky","Úžice,Mělník",3,10
1552732,"Úžice,Benátky","Úžice,Mělník,rozc.",3,25
1552737,"Úžice,Benátky","Úžice,Nechyba",3,46
1552749,"Úžice,Chrastná","Úžice,Smrk",3,10
1552751,"Úžice,Chrastná","Úžice,Smrk,rozc.",3,10
1552753,"Úžice,Chrastná,rozc.","Úžice,Smrk,rozc.",3,30
1552759,"Úžice,Chrastná,rozc.","Úžice,Čekanov,Pražská",3,25
1552764,"Úžice,Kopeč","Odolena Voda,Dolní náměstí",3,53
1552777,"Úžice,Kopeč","Úžice,Netřeba",3,96
1552801,"Úžice,Mělník","Úžice,Benátky",3,10
1552803,"Úžice,Mělník","Úžice,Nechyba",3,10
1552805,"Úžice,Mělník,rozc.",Vlkančice,3,25
1552810,"Úžice,Mělník,rozc.","Úžice,Benátky",3,30
1552816,"Úžice,Nechyba","Sázava,Klášterní",3,119
1552845,"Úžice,Nechyba","Úžice,Benátky",3,48
1552858,"Úžice,Nechyba","Úžice,Mělník",3,10
1552860,"Úžice,Nechyba","Úžice,Radvanice",3,58
1552874,"Úžice,Netřeba","Neratovice,Korycany",3,102
1552899,"Úžice,Netřeba","Neratovice,Sídliště",3,76
1552917,"Úžice,Netřeba",Úžice,3,82
1552936,"Úžice,Netřeba","Úžice,Kopeč",3,53
1552949,"Úžice,Radvanice","Úžice,Nechyba",3,63
1552964,"Úžice,Radvanice","Úžice,Čekanov",3,58
1552978,"Úžice,Radvanice,Nechybská","Sázava,Klášterní",3,15
1552981,"Úžice,Radvanice,Nechybská","Úžice,Radvanice,rozc.",3,15
1552984,"Úžice,Radvanice,rozc.","Úžice,Radvanice,Nechybská",3,15
1552987,"Úžice,Radvanice,rozc.","Úžice,Čekanov,rozc.",3,15
1552990,"Úžice,Smrk",Úžice,3,10
1552992,"Úžice,Smrk","Úžice,Chrastná",3,10
1552994,"Úžice,Smrk,rozc.","Staňkovice,Smilovice,rozc.",3,98
1553016,"Úžice,Smrk,rozc.",Úžice,3,63
1553031,"Úžice,Smrk,rozc.","Úžice,Chrastná",3,10
1553033,"Úžice,Smrk,rozc.","Úžice,Chrastná,rozc.",3,25
1553038,"Úžice,Čekanov","Samopše,Talmberk",3,68
1553054,"Úžice,Čekanov","Úžice,Radvanice",3,63
1553069,"Úžice,Čekanov","Úžice,Čekanov,Sázavská",3,10
1553071,"Úžice,Čekanov,Pražská","Horní Kruty,Újezdec,rozc.",3,35
1553078,"Úžice,Čekanov,Pražská","Úžice,Chrastná,rozc.",3,30
1553084,"Úžice,Čekanov,Pražská","Úžice,Čekanov,Sázavská",3,10
1553086,"Úžice,Čekanov,Sázavská","Úžice,Čekanov",3,10
1553088,"Úžice,Čekanov,Sázavská","Úžice,Čekanov,Pražská",3,10
1553090,"Úžice,Čekanov,rozc.","Samopše,Talmberk",3,15
1553093,"Úžice,Čekanov,rozc.","Úžice,Radvanice,rozc.",3,15
1553096,"Úžice,Červená Lhota","Dřínov,Stavadla",3,137
1553127,"Úžice,Červená Lhota",Úžice,3,141
1553157,Čachovice,Luštěnice-Újezd,2,134
1553188,Čachovice,"Vlkava,náves",3,113
1553213,Čachovice,Všejany,2,136
1553250,Čachovice,"Všejany,Vanovice",3,73
1553267,Čachovice,"Čachovice,žel.st.",3,45
1553276,"Čachovice,Struhy",Lipník,3,50
1553286,"Čachovice,Struhy","Čachovice,Struhy,Hostinec",3,55
1553297,"Čachovice,Struhy,Hostinec","Čachovice,Struhy",3,50
1553307,"Čachovice,Struhy,Hostinec","Čachovice,žel.st.",3,55
1553318,"Čachovice,žel.st.","Všejany,Vanovice",3,10
1553320,"Čachovice,žel.st.",Čachovice,3,45
1553329,"Čachovice,žel.st.","Čachovice,Struhy,Hostinec",3,50
1553339,Čakov,Ostředek,3,24
1553345,Čakov,"Čakov,Tatouňovice",3,34
1553353,"Čakov,Tatouňovice",Čakov,3,29
1553360,"Čakov,Tatouňovice","Čakov,Vlkov",3,34
1553368,"Čakov,Vlkov","Čakov,Tatouňovice",3,29
1553375,"Čakov,Vlkov","Čakov,rozc.Zálesí",3,34
1553383,"Čakov,rozc.Zálesí","Teplýšovice,Smilov",3,34
1553391,"Čakov,rozc.Zálesí","Čakov,Vlkov",3,29
1553398,Čakovice,Náměstí Jiřího Berana,3,805
1553588,Čakovice,Oderská,3,767
1553785,Čakovice,Radonická,3,923
1553997,Čakovice,U Bílého Mlýnku,3,2553
1554591,Čakovice,Čakovický zámek,3,2509
1555166,Čakovická,Letňany,3,800
1555364,Čakovická,Nový Hloubětín,3,790
1555558,Čakovický zámek,Cukrovar Čakovice,3,28
1555562,Čakovický zámek,Za Avií,3,2481
1556133,Čakovický zámek,Čakovice,3,2504
1556709,Čakovičky,Kojetice,3,314
1556778,Čakovičky,Nová Ves,3,557
1556904,Čakovičky,Zlonín,3,30
1556910,Čechova čtvrť,Cukrovar Modřany,3,203
1556958,Čechova čtvrť,Nádraží Modřany,0,2934
1557648,Čechova čtvrť,Nádraží Modřany,3,179
1557769,Čechova čtvrť,Poliklinika Modřany,0,2870
1558450,Čechova čtvrť,Poliklinika Modřany,3,188
1558568,Čechova čtvrť,Radnice Praha 12,3,198
1558618,Čechova škola,Kazanka,3,1138
1558938,Čechova škola,Kovárna,3,1138
1559258,Čechovo náměstí,Bohemians,3,1364
1559609,Čechovo náměstí,Bohemians,0,20
1559613,Čechovo náměstí,Koh-i-noor,0,5083
1560801,Čechovo náměstí,Vršovické náměstí,0,5318
1562070,Čechtice,Křivsoudov,3,1
1562071,Čechtice,"Čechtice,Malá Paseka",3,43
1562082,Čechtice,"Čechtice,Staré Práchňany",3,10
1562084,Čechtice,"Čechtice,prodejna",3,72
1562104,Čechtice,"Čechtice,Černičí",3,106
1562126,Čechtice,"Čechtice,škola",3,50
1562136,"Čechtice,Dobříkovice","Pravonín,u Kubů",3,35
1562145,"Čechtice,Dobříkovice","Čechtice,Nakvasovice",3,41
1562155,"Čechtice,Jeníkov",Chmelná,3,36
1562164,"Čechtice,Jeníkov","Čechtice,Nakvasovice",3,35
1562173,"Čechtice,Jeníkov","Čechtice,škola",3,10
1562175,"Čechtice,Malá Paseka","Křešín,Čeněnice,rozc.1.0",3,43
1562186,"Čechtice,Malá Paseka",Čechtice,3,43
1562197,"Čechtice,Nakvasovice","Čechtice,Dobříkovice",3,35
1562206,"Čechtice,Nakvasovice","Čechtice,Jeníkov",3,41
1562216,"Čechtice,Otročice",Borovnice,3,20
1562220,"Čechtice,Otročice","Čechtice,Otročice,rozc.",3,30
1562226,"Čechtice,Otročice,rozc.","Borovnice,rozc.",3,72
1562246,"Čechtice,Otročice,rozc.","Čechtice,Otročice",3,20
1562250,"Čechtice,Otročice,rozc.","Čechtice,prodejna",3,82
1562272,"Čechtice,Otročice,rozc.","Čechtice,škola",3,35
1562279,"Čechtice,Staré Práchňany","Křešín,Mohelnice",3,10
1562281,"Čechtice,Staré Práchňany",Čechtice,3,10
1562283,"Čechtice,prodejna",Čechtice,3,82
1562305,"Čechtice,prodejna","Čechtice,Otročice,rozc.",3,72
1562325,"Čechtice,Černičí",Křivsoudov,3,106
1562347,"Čechtice,Černičí",Čechtice,3,87
1562366,"Čechtice,škola",Čechtice,3,70
1562380,"Čechtice,škola","Čechtice,Jeníkov",3,15
1562383,"Čechtice,škola","Čechtice,Otročice,rozc.",3,20
1562387,Čechtická,Novodvorská,3,233
1562447,Čechtická,Nové dvory,3,224
1562501,Čechův most,Dlouhá třída,0,1345
1562824,Čechův most,Malostranská,0,1354
1563161,Čechův most,Právnická fakulta,0,1738
1563635,Čechův most,Strossmayerovo náměstí,0,1738
1564128,Čelákovice,"vl.v km 9,980",2,329
1564186,Čelákovice,Čelákovice zast.,2,138
1564211,Čelákovice,Čelákovice-Jiřina,2,319
1564263,Čelákovice zast.,Lázně Toušeň,2,138
1564288,Čelákovice zast.,Čelákovice,2,138
1564316,"Čelákovice,Jiřinská","Čelákovice,Nám.",3,78
1564335,"Čelákovice,Jiřinská","Čelákovice,U Hájku",3,143
1564368,"Čelákovice,Jiřinská","Čelákovice,Žel.st.",3,68
1564382,"Čelákovice,Nám.","Čelákovice,Jiřinská",3,75
1564400,"Čelákovice,Nám.","Čelákovice,Rumunská",3,118
1564426,"Čelákovice,Nám.","Čelákovice,Žel.st.",3,193
1564471,"Čelákovice,Rozc.Sedlčánky","Přerov n.L.,U Skanzenu",3,68
1564486,"Čelákovice,Rozc.Sedlčánky","Čelákovice,U Hájku",3,68
1564500,"Čelákovice,Rumunská","Čelákovice,Nám.",3,120
1564527,"Čelákovice,Rumunská","Čelákovice,V Prokopě",3,118
1564553,"Čelákovice,Sedlčánky",Mochov,3,75
1564571,"Čelákovice,Sedlčánky","Čelákovice,U Hájku",3,78
1564590,"Čelákovice,Toušeňská","Čelákovice,Žel.st.",3,128
1564620,"Čelákovice,U Hájku","Čelákovice,Jiřinská",3,146
1564653,"Čelákovice,U Hájku","Čelákovice,Rozc.Sedlčánky",3,68
1564668,"Čelákovice,U Hájku","Čelákovice,Sedlčánky",3,75
1564686,"Čelákovice,V Prokopě",Lázně Toušeň,3,256
1564737,"Čelákovice,V Prokopě","Čelákovice,Rumunská",3,113
1564762,"Čelákovice,V Prokopě","Čelákovice,Žel.st.",3,138
1564791,"Čelákovice,Záluží","Nehvizdy,Nehvízdky",3,91
1564811,"Čelákovice,Záluží","Čelákovice,Záluží,Cihelna",3,96
1564832,"Čelákovice,Záluží,Cihelna","Čelákovice,Záluží",3,91
1564852,"Čelákovice,Záluží,Cihelna","Čelákovice,Žel.st.",3,96
1564873,"Čelákovice,Žel.st.","Čelákovice,Jiřinská",3,68
1564888,"Čelákovice,Žel.st.","Čelákovice,Nám.",3,183
1564930,"Čelákovice,Žel.st.","Čelákovice,Toušeňská",3,141
1564962,"Čelákovice,Žel.st.","Čelákovice,V Prokopě",3,138
1564987,"Čelákovice,Žel.st.","Čelákovice,Záluží,Cihelna",3,91
1565007,Čelákovice-Jiřina,Odb Káraný,2,319
1565059,Čelákovice-Jiřina,Čelákovice,2,329
1565117,Čenkov,"Bratkovice,Domin.Paseky,rozc.1.0",3,117
1565144,Čenkov,"Čenkov,Záv.",3,112
1565169,"Čenkov,U Kříže","Jince,Žel.st.",3,122
1565196,"Čenkov,U Kříže","Čenkov,Záv.",3,127
1565224,"Čenkov,Záv.",Čenkov,3,117
1565251,"Čenkov,Záv.","Čenkov,U Kříže",3,122
1565278,Černická,Poliklinika Malešice,3,506
1565386,Černolice,"Všenory,U Kácovských",3,8
1565390,Černolice,"Černolice,Nový Dvůr",3,65
1565403,Černolice,Řitka,3,10
1565408,Černolice,"Řitka,U Rybníka",3,65
1565421,"Černolice,Nový Dvůr","Všenory,U Křížků",3,65
1565434,"Černolice,Nový Dvůr",Černolice,3,65
1565447,Černouček,Ctiněves,3,156
1565483,Černouček,"Horní Beřkovice,ObÚ",3,50
